NAME,ADDRESS,ZIP CODE,UNITS WITH INCOME/RENT LIMITS,HUD,SHA,STATE OF WA or COUNTY,WSHFC,CITY OF SEATTLE,YEAR PLACED IN SERVICE,COUNCIL DISTRICT
High Point Phase I,5930 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5930 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5932 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5932 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5934 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5934 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5936 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5936 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5938 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5938 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5940 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5940 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5942 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5942 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5944 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5944 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5946 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5946 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5948 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5948 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5950 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5950 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5951 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5952 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5952 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5953 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5954 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5954 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5956 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5957 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5958 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5959 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5960 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5961 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5962 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5963 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5964 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5965 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5966 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5967 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5968 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5969 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5970 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5972 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5973 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5975 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5976 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5979 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5981 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5985 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5987 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5989 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6000 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6000 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6000 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6001 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6002 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6002 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6004 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6004 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6006 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6006 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6006 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6008 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6010 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6011 30TH AVE SW,98107,1, ,X, ,X, ,2006,1
High Point Phase I,6012 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6012 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6013 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6014 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6016 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6017 30TH AVE SW,98107,1, ,X, ,X, ,2006,1
High Point Phase I,6018 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6018 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6019 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6020 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6020 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6021 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6022 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6022 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6023 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6024 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6024 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6025 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6025 LANHAM PL SW,98126,36, ,X, ,X, ,2006,1
High Point Phase I,6026 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6026 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6027 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6028 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6028 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6029 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6030 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6030 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6031 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6031 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6032 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6032 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6032 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6033 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6033 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6034 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6034 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6034 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6035 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6035 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6036 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6036 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6037 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6038 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6038 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6039 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6039 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6040 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6041 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6041 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6042 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6043 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6044 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6045 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6046 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6047 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6048 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6049 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6050 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6051 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6052 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6053 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6054 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6055 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6056 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6057 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6058 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6059 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6060 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6061 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6070 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6071 31ST AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6071 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6073 LANHAM PL SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6300 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6300 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6300 34TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6301 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6301 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6304 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6304 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6304 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6305 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6306 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6306 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6306 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6307 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6309 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6310 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6310 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6310 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6311 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6311 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6312 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6312 30TH AVE SW,98107,1, ,X, ,X, ,2006,1
High Point Phase I,6312 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6313 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6313 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6314 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6315 30TH AVE SW,98107,1, ,X, ,X, ,2006,1
High Point Phase I,6316 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6316 30TH AVE SW,98107,1, ,X, ,X, ,2006,1
High Point Phase I,6316 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6317 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6318 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6318 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6319 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6319 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6319 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6321 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6321 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6321 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6322 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6322 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6322 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6323 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6324 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6324 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6324 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6325 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6325 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6326 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6327 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6327 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6328 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6328 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6329 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6329 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6330 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6330 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6330 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6331 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6331 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6331 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6332 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6333 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6333 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6334 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6335 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6337 29TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6337 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6338 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6339 30TH AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6339 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6341 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6342 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6344 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6345 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6350 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6352 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6354 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6362 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6364 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6366 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,6368 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase II,3075 SW MORGAN ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3101 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3103 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3107 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3109 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3111 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3115 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3117 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3119 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3120 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3122 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3125 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3126 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3127 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3128 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3129 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3131 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3132 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3135 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3136 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3137 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3139 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3143 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3145 SW HOLLY ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3214 SW GRAHAM ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3216 SW GRAHAM ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,3218 SW GRAHAM ST,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6400 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6401 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6404 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6405 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6406 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6407 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6410 30TH AVE SW,98107,1, ,X, ,X, ,2009,1
High Point Phase II,6411 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6413 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6414 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6416 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6417 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6419 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6420 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6420 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6420 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6421 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6421 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6422 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6422 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6422 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6423 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6423 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6423 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6424 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6425 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6426 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6426 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6427 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6427 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6427 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6428 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6428 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6428 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6429 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6429 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6430 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6430 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6431 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6431 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6432 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6432 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6432 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6433 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6433 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6433 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6434 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6434 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6435 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6435 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6436 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6436 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6437 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6437 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6438 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6438 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6438 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6439 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6439 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6439 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6440 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6440 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6440 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6441 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6441 HIGH POINT DR SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6442 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6442 31ST AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6443 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6444 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6445 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6448 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6449 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6450 29TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6451 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6500 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6501 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6503 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6504 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6505 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6507 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6510 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6511 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6512 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6513 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6515 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6515 SYLVAN WAY SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6516 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6517 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6518 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6518 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6519 30TH AVE SW,98126,1, ,X, ,X, ,2009,1
High Point Phase II,6520 32ND AVE SW,98126,1, ,X, ,X, ,2009,1
